,age,job,salary,balance,default,housing,loan,contact,day,month,duration,campaign,previous,poutcome,target,marital,education
0,58,management,100000.0,2143,no,yes,no,unknown,5,may,261,1,0,unknown,no,married,tertiary
1,44,technician,60000.0,29,no,yes,no,unknown,5,may,151,1,0,unknown,no,single,secondary
2,33,entrepreneur,120000.0,2,no,yes,yes,unknown,5,may,76,1,0,unknown,no,married,secondary
3,47,blue-collar,20000.0,1506,no,yes,no,unknown,5,may,92,1,0,unknown,no,married,unknown
4,33,unknown,60000.0,1,no,no,no,unknown,5,may,198,1,0,unknown,no,single,unknown
5,35,management,100000.0,231,no,yes,no,unknown,5,may,139,1,0,unknown,no,married,tertiary
6,28,management,100000.0,447,no,yes,yes,unknown,5,may,217,1,0,unknown,no,single,tertiary
7,42,entrepreneur,120000.0,2,yes,yes,no,unknown,5,may,380,1,0,unknown,no,divorced,tertiary
8,58,retired,55000.0,121,no,yes,no,unknown,5,may,50,1,0,unknown,no,married,primary
9,43,technician,60000.0,593,no,yes,no,unknown,5,may,55,1,0,unknown,no,single,secondary
10,41,admin.,50000.0,270,no,yes,no,unknown,5,may,222,1,0,unknown,no,divorced,secondary
11,29,admin.,50000.0,390,no,yes,no,unknown,5,may,137,1,0,unknown,no,single,secondary
12,53,technician,60000.0,6,no,yes,no,unknown,5,may,517,1,0,unknown,no,married,secondary
13,58,technician,60000.0,71,no,yes,no,unknown,5,may,71,1,0,unknown,no,married,unknown
14,57,services,70000.0,162,no,yes,no,unknown,5,may,174,1,0,unknown,no,married,secondary
15,51,retired,55000.0,229,no,yes,no,unknown,5,may,353,1,0,unknown,no,married,primary
16,45,admin.,50000.0,13,no,yes,no,unknown,5,may,98,1,0,unknown,no,single,unknown
17,60,retired,55000.0,60,no,yes,no,unknown,5,may,219,1,0,unknown,no,married,primary
18,33,services,70000.0,0,no,yes,no,unknown,5,may,54,1,0,unknown,no,married,secondary
19,28,blue-collar,20000.0,723,no,yes,yes,unknown,5,may,262,1,0,unknown,no,married,secondary
20,56,management,100000.0,779,no,yes,no,unknown,5,may,164,1,0,unknown,no,married,tertiary
21,32,blue-collar,20000.0,23,no,yes,yes,unknown,5,may,160,1,0,unknown,no,single,primary
22,25,services,70000.0,50,no,yes,no,unknown,5,may,342,1,0,unknown,no,married,secondary
23,40,retired,55000.0,0,no,yes,yes,unknown,5,may,181,1,0,unknown,no,married,primary
24,44,admin.,50000.0,-372,no,yes,no,unknown,5,may,172,1,0,unknown,no,married,secondary
25,39,management,100000.0,255,no,yes,no,unknown,5,may,296,1,0,unknown,no,single,tertiary
26,52,entrepreneur,120000.0,113,no,yes,yes,unknown,5,may,127,1,0,unknown,no,married,secondary
27,46,management,100000.0,-246,no,yes,no,unknown,5,may,255,2,0,unknown,no,single,secondary
28,36,technician,60000.0,265,no,yes,yes,unknown,5,may,348,1,0,unknown,no,single,secondary
29,57,technician,60000.0,839,no,no,yes,unknown,5,may,225,1,0,unknown,no,married,secondary
30,49,management,100000.0,378,no,yes,no,unknown,5,may,230,1,0,unknown,no,married,tertiary
31,60,admin.,50000.0,39,no,yes,yes,unknown,5,may,208,1,0,unknown,no,married,secondary
32,59,blue-collar,20000.0,0,no,yes,no,unknown,5,may,226,1,0,unknown,no,married,secondary
33,51,management,100000.0,10635,no,yes,no,unknown,5,may,336,1,0,unknown,no,married,tertiary
34,57,technician,60000.0,63,no,yes,no,unknown,5,may,242,1,0,unknown,no,divorced,secondary
35,25,blue-collar,20000.0,-7,no,yes,no,unknown,5,may,365,1,0,unknown,no,married,secondary
36,53,technician,60000.0,-3,no,no,no,unknown,5,may,1666,1,0,unknown,no,married,secondary
37,36,admin.,50000.0,506,no,yes,no,unknown,5,may,577,1,0,unknown,no,divorced,secondary
38,37,admin.,50000.0,0,no,yes,no,unknown,5,may,137,1,0,unknown,no,single,secondary
39,44,services,70000.0,2586,no,yes,no,unknown,5,may,160,1,0,unknown,no,divorced,secondary
40,50,management,100000.0,49,no,yes,no,unknown,5,may,180,2,0,unknown,no,married,secondary
41,60,blue-collar,20000.0,104,no,yes,no,unknown,5,may,22,1,0,unknown,no,married,unknown
42,54,retired,55000.0,529,no,yes,no,unknown,5,may,1492,1,0,unknown,no,married,secondary
43,58,retired,55000.0,96,no,yes,no,unknown,5,may,616,1,0,unknown,no,married,unknown
44,36,admin.,50000.0,-171,no,yes,no,unknown,5,may,242,1,0,unknown,no,single,primary
45,58,self-employed,60000.0,-364,no,yes,no,unknown,5,may,355,1,0,unknown,no,married,tertiary
46,44,technician,60000.0,0,no,yes,no,unknown,5,may,225,2,0,unknown,no,married,secondary
47,55,technician,60000.0,0,no,no,no,unknown,5,may,160,1,0,unknown,no,divorced,secondary
48,29,management,100000.0,0,no,yes,no,unknown,5,may,363,1,0,unknown,no,single,tertiary
49,54,blue-collar,20000.0,1291,no,yes,no,unknown,5,may,266,1,0,unknown,no,married,secondary
50,48,management,100000.0,-244,no,yes,no,unknown,5,may,253,1,0,unknown,no,divorced,tertiary
51,32,management,100000.0,0,no,yes,no,unknown,5,may,179,1,0,unknown,no,married,tertiary
52,42,admin.,50000.0,-76,no,yes,no,unknown,5,may,787,1,0,unknown,no,single,secondary
53,24,technician,60000.0,-103,no,yes,yes,unknown,5,may,145,1,0,unknown,no,single,secondary
54,38,entrepreneur,120000.0,243,no,no,yes,unknown,5,may,174,1,0,unknown,no,single,tertiary
55,38,management,100000.0,424,no,yes,no,unknown,5,may,104,1,0,unknown,no,single,tertiary
56,47,blue-collar,20000.0,306,no,yes,no,unknown,5,may,13,1,0,unknown,no,married,unknown
57,40,blue-collar,20000.0,24,no,yes,no,unknown,5,may,185,1,0,unknown,no,single,unknown
58,46,services,70000.0,179,no,yes,no,unknown,5,may,1778,1,0,unknown,no,married,primary
59,32,admin.,60000.0,0,no,yes,no,unknown,5,may,138,1,0,unknown,no,married,tertiary
60,53,technician,60000.0,989,no,yes,no,unknown,5,may,812,1,0,unknown,no,divorced,secondary
61,57,blue-collar,20000.0,249,no,yes,no,unknown,5,may,164,1,0,unknown,no,married,primary
62,33,services,70000.0,790,no,yes,no,unknown,5,may,391,1,0,unknown,no,married,secondary
63,49,blue-collar,20000.0,154,no,yes,no,unknown,5,may,357,1,0,unknown,no,married,unknown
64,51,management,100000.0,6530,no,yes,no,unknown,5,may,91,1,0,unknown,no,married,tertiary
65,60,retired,55000.0,100,no,no,no,unknown,5,may,528,1,0,unknown,no,married,tertiary
66,59,management,100000.0,59,no,yes,no,unknown,5,may,273,1,0,unknown,no,divorced,tertiary
67,55,technician,60000.0,1205,no,yes,no,unknown,5,may,158,2,0,unknown,no,married,secondary
68,35,blue-collar,20000.0,12223,no,yes,yes,unknown,5,may,177,1,0,unknown,no,single,secondary
69,57,blue-collar,20000.0,5935,no,yes,yes,unknown,5,may,258,1,0,unknown,no,married,secondary
70,31,services,70000.0,25,no,yes,yes,unknown,5,may,172,1,0,unknown,no,married,secondary
71,54,management,100000.0,282,no,yes,yes,unknown,5,may,154,1,0,unknown,no,married,secondary
72,32,blue-collar,20000.0,23,no,yes,no,unknown,5,may,291,1,0,unknown,no,married,primary
73,43,technician,60000.0,1937,no,yes,no,unknown,5,may,181,1,0,unknown,no,married,secondary
74,53,technician,60000.0,384,no,yes,no,unknown,5,may,176,1,0,unknown,no,married,secondary
75,44,blue-collar,20000.0,582,no,no,yes,unknown,5,may,211,1,0,unknown,no,married,secondary
76,55,services,70000.0,91,no,no,no,unknown,5,may,349,1,0,unknown,no,divorced,secondary
77,49,services,70000.0,0,no,yes,yes,unknown,5,may,272,1,0,unknown,no,divorced,secondary
78,55,services,70000.0,1,yes,yes,no,unknown,5,may,208,1,0,unknown,no,divorced,secondary
79,45,admin.,50000.0,206,no,yes,no,unknown,5,may,193,1,0,unknown,no,single,secondary
80,47,services,70000.0,164,no,no,no,unknown,5,may,212,1,0,unknown,no,divorced,secondary
81,42,technician,60000.0,690,no,yes,no,unknown,5,may,20,1,0,unknown,no,single,secondary
82,59,admin.,50000.0,2343,no,yes,no,unknown,5,may,1042,1,0,unknown,yes,married,secondary
83,46,self-employed,60000.0,137,no,yes,yes,unknown,5,may,246,1,0,unknown,no,married,tertiary
84,51,blue-collar,20000.0,173,no,yes,no,unknown,5,may,529,2,0,unknown,no,married,primary
85,56,admin.,50000.0,45,no,no,no,unknown,5,may,1467,1,0,unknown,yes,married,secondary
86,41,technician,60000.0,1270,no,yes,no,unknown,5,may,1389,1,0,unknown,yes,married,secondary
87,46,management,100000.0,16,no,yes,yes,unknown,5,may,188,2,0,unknown,no,divorced,secondary
88,57,retired,55000.0,486,no,yes,no,unknown,5,may,180,2,0,unknown,no,married,secondary
89,42,management,100000.0,50,no,no,no,unknown,5,may,48,1,0,unknown,no,single,secondary
90,30,technician,60000.0,152,no,yes,yes,unknown,5,may,213,2,0,unknown,no,married,secondary
91,60,admin.,50000.0,290,no,yes,no,unknown,5,may,583,1,0,unknown,no,married,secondary
92,60,blue-collar,20000.0,54,no,yes,no,unknown,5,may,221,1,0,unknown,no,married,unknown
93,57,entrepreneur,120000.0,-37,no,no,no,unknown,5,may,173,1,0,unknown,no,divorced,secondary
94,36,management,100000.0,101,no,yes,yes,unknown,5,may,426,1,0,unknown,no,married,tertiary
95,55,blue-collar,20000.0,383,no,no,no,unknown,5,may,287,1,0,unknown,no,married,secondary
96,60,retired,55000.0,81,no,yes,no,unknown,5,may,101,1,0,unknown,no,married,tertiary
97,39,technician,60000.0,0,no,yes,no,unknown,5,may,203,1,0,unknown,no,married,secondary
98,46,management,100000.0,229,no,yes,no,unknown,5,may,197,1,0,unknown,no,married,tertiary
99,44,blue-collar,20000.0,-674,no,yes,no,unknown,5,may,257,1,0,unknown,no,married,secondary
100,53,blue-collar,20000.0,90,no,no,no,unknown,5,may,124,1,0,unknown,no,married,primary
101,52,blue-collar,20000.0,128,no,yes,no,unknown,5,may,229,1,0,unknown,no,married,primary
102,59,blue-collar,20000.0,179,no,yes,no,unknown,5,may,55,3,0,unknown,no,married,primary
103,27,technician,60000.0,0,no,yes,no,unknown,5,may,400,1,0,unknown,no,single,tertiary
104,32,blue-collar,20000.0,54,no,yes,no,unknown,5,may,197,1,0,unknown,no,married,secondary
105,47,technician,60000.0,151,no,yes,no,unknown,5,may,190,1,0,unknown,no,married,tertiary
106,34,admin.,50000.0,61,no,no,yes,unknown,5,may,21,1,0,unknown,no,married,secondary
107,59,retired,55000.0,30,no,yes,no,unknown,5,may,514,1,0,unknown,no,single,secondary
108,45,management,100000.0,523,no,yes,no,unknown,5,may,849,2,0,unknown,no,married,tertiary
109,29,services,70000.0,31,no,yes,no,unknown,5,may,194,1,0,unknown,no,divorced,secondary
110,46,technician,60000.0,79,no,no,no,unknown,5,may,144,1,0,unknown,no,divorced,secondary
111,56,self-employed,60000.0,-34,no,yes,yes,unknown,5,may,212,2,0,unknown,no,married,primary
112,36,blue-collar,20000.0,448,no,yes,no,unknown,5,may,286,1,0,unknown,no,married,primary
113,59,retired,55000.0,81,no,yes,no,unknown,5,may,107,1,0,unknown,no,divorced,primary
114,44,blue-collar,20000.0,144,no,yes,no,unknown,5,may,247,2,0,unknown,no,married,secondary
115,41,admin.,50000.0,351,no,yes,no,unknown,5,may,518,1,0,unknown,no,married,secondary
116,33,management,100000.0,-67,no,yes,no,unknown,5,may,364,1,0,unknown,no,single,tertiary
117,59,management,100000.0,262,no,no,no,unknown,5,may,178,1,0,unknown,no,divorced,tertiary
118,57,technician,60000.0,0,no,no,no,unknown,5,may,98,1,0,unknown,no,married,primary
119,56,technician,60000.0,56,no,yes,no,unknown,5,may,439,1,0,unknown,no,divorced,unknown
120,51,blue-collar,20000.0,26,no,yes,no,unknown,5,may,79,1,0,unknown,no,married,secondary
121,34,admin.,50000.0,3,no,yes,no,unknown,5,may,120,3,0,unknown,no,married,unknown
122,43,services,70000.0,41,no,yes,yes,unknown,5,may,127,2,0,unknown,no,married,secondary
123,52,technician,60000.0,7,no,no,yes,unknown,5,may,175,1,0,unknown,no,married,tertiary
124,33,technician,60000.0,105,no,yes,no,unknown,5,may,262,2,0,unknown,no,single,secondary
125,29,admin.,50000.0,818,no,yes,yes,unknown,5,may,61,1,0,unknown,no,single,secondary
126,34,services,70000.0,-16,no,yes,yes,unknown,5,may,78,1,0,unknown,no,married,secondary
127,31,blue-collar,20000.0,0,no,yes,no,unknown,5,may,143,1,0,unknown,no,married,secondary
128,55,services,70000.0,2476,no,yes,no,unknown,5,may,579,1,0,unknown,yes,married,secondary
129,55,management,100000.0,1185,no,no,no,unknown,5,may,677,1,0,unknown,no,married,unknown
130,32,admin.,50000.0,217,no,yes,no,unknown,5,may,345,1,0,unknown,no,single,secondary
131,38,technician,60000.0,1685,no,yes,no,unknown,5,may,185,1,0,unknown,no,single,secondary
132,55,admin.,50000.0,802,no,yes,yes,unknown,5,may,100,2,0,unknown,no,single,secondary
133,28,unemployed,8000.0,0,no,yes,no,unknown,5,may,125,2,0,unknown,no,single,tertiary
134,23,blue-collar,20000.0,94,no,yes,no,unknown,5,may,193,1,0,unknown,no,married,secondary
135,32,technician,60000.0,0,no,yes,no,unknown,5,may,136,1,0,unknown,no,single,secondary
136,43,services,70000.0,0,no,no,no,unknown,5,may,73,1,0,unknown,no,single,unknown
137,32,blue-collar,20000.0,517,no,yes,no,unknown,5,may,528,1,0,unknown,no,married,secondary
138,46,blue-collar,20000.0,265,no,yes,no,unknown,5,may,541,1,0,unknown,no,married,secondary
139,53,housemaid,16000.0,947,no,yes,no,unknown,5,may,163,1,0,unknown,no,divorced,primary
